FOLIO_PERSONAL,DOCUMENTO,CUIL,APELLIDO,NOMBRE,DOMICILIO,INHIBIENTE,MONTO,CARATULA,JUZGADO,FECHA,ENTRO,ALCANCE,OBSERVACIONES,VIGENCIA
2120/1,39054982,20-98210292-7,AYALA,JAZMIN,NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",264950,"EJECUCI├ôN FISCAL - QUIROGA DELFINA","JUZGADO N┬░ 3",2022-05-17,2023-05-07,NULL,NULL,NULL
21200/3,88399403,27-44775417-5,0000,BRUNO,"CALLE POSADAS 2630",AFIP,209323,"EJECUCI├ôN FISCAL - SILVA SANTINO BENJAMIN",NULL,2021-09-24,NULL,NULL,NULL,ACTIVO
21203/9,18315449,26-38100002-7,MENDEZ,SANTINO,"AV. FORMOSA 4336",AFIP,NULL,"CONCURSO PREVENTIVO - DIAZ EMMA","JUZGADO N┬░ 26",2019-10-09,NULL,NULL,NULL,CADUCADO
21231/12,34119905,21-32672744-3,SILVA,PEDRO,"BOULEVARD SANTA FE 300","BANCO NACI├ôN",187718,"EJECUCI├ôN FISCAL - LOPEZ VICTORIA",NULL,2024-09-19,2024-06-15,NULL,NULL,NULL
21258/7,73598424,22-68489939-7,GONZALEZ,"JUAN CRUZ","CALLE CHACO 3470","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - AGUIRRE VALENTINA","JUZGADO N┬░ 20",2024-11-13,NULL,NULL,NULL,CADUCADO
21305/17,86090049,22-80913061-5,FARIAS,SALVADOR,"AVENIDA 5 3532",AFIP,NULL,"COBRO DE PESOS - GUZMAN JUAN BAUTISTA","JUZGADO N┬░ 3",2017-11-21,2020-03-04,PARCIAL,NULL,NULL
2133/20,58672258,24-10157234-8,GONZALEZ,AMBAR,"AVENIDA VIEDMA 3405","BANCO NACI├ôN",886140,"CONCURSO PREVENTIVO - MARTINEZ EMILIANO","JUZGADO N┬░ 1",2025-07-30,2020-12-15,NULL,NULL,CADUCADO
21343/25,23946975,27-12796864-0,LEDESMA,PILAR,"DIAG. J.M. DE ROSAS 4674","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",48951,"EJECUCI├ôN FISCAL - AGUERO MATEO",NULL,2015-12-23,2021-10-08,NULL,"SIN OBSERVACIONES",ACTIVO
21383/25,18946174,22-26957362-3,RODRIGUEZ,IGNACIO,"DIAGONAL 8 71",AFIP,238243,"EJECUCI├ôN FISCAL - RODRIGUEZ JAZMIN",NULL,2022-08-26,NULL,PARCIAL,NULL,NULL
21452/23,12447194,20-53719481-3,ACU├æA,"JUAN IGNACIO","DIAGONAL LA PLATA 1598",NULL,NULL,"COBRO DE PESOS - FERNANDEZ ALEJO","JUZGADO N┬░ 1",NULL,NULL,TOTAL,"EN REVISI├ôN",NULL
21535/18,63260074,24-84693621-3,NULL,AGUSTINA,"DIAGONAL R├ìO GALLEGOS 2186","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",863412,"EJECUCI├ôN FISCAL - MENDOZA THIAGO","JUZGADO N┬░ 23",2018-08-01,2025-07-05,NULL,NULL,CADUCADO
21554/7,26194164,21-30548011-6,LEDESMA,TIZIANO,???,AFIP,NULL,NULL,"JUZGADO N┬░ 8",2020-01-11,2023-08-31,NULL,NULL,NULL
21579/14,54149388,22-48226322-3,PERALTA,"ZOE VALENTINA","CALLE SAN JUAN 1191","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - PEREYRA VALENTINA","JUZGADO N┬░ 14",2023-03-27,2024-03-22,NULL,NULL,ACTIVO
21670/8,31602701,24-62115236-2,RAMIREZ,BASTIAN,"CALLE J.M. DE ROSAS 1246","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - RODRIGUEZ MATEO EZEQUIEL","JUZGADO N┬░ 20",2024-01-19,NULL,NULL,NULL,NULL
21674/4,"   ",25-37366354-8,CRUZ,PAULINA,"AV. MITRE 3296","BANCO NACI├ôN",898734,"EJECUCI├ôN FISCAL - CASTRO SOF├ìA","JUZGADO N┬░ 4",2021-03-17,NULL,NULL,NULL,CADUCADO
21692/10,91367647,NULL,BARRIOS,EMANUEL,"AV. CIUDAD AUT├ôNOMA DE BUENOS AIRES 3283","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",641588,"EJECUCI├ôN FISCAL - MENDEZ TIZIANO VALENTIN",NULL,2025-02-19,2024-08-26,NULL,NULL,ACTIVO
21747/8,75081583,25-57246990-6,BLANCO,JOAQUIN,"CALLE R├ìO GALLEGOS 2814","FISCO DE LA PROVINCIA",412115,"CONCURSO PREVENTIVO - CORREA TOM├ÇS","JUZGADO N┬░ 3",2020-12-09,2021-12-07,PARCIAL,NULL,NULL
21805/11,88197287,26-51433080-3,VILLALBA,SANTINO,"AV. BELGRANO 2610",AFIP,348139,"CONCURSO PREVENTIVO - SANCHEZ TOM├ÇS",NULL,2022-03-20,2020-10-10,NULL,NULL,NULL
21864/5,79637969,27-73234892-6,JUAREZ,TOM├ÇS,"AVENIDA SANTA CRUZ 2089",NULL,851948,NULL,"JUZGADO N┬░ 22",2025-07-08,2023-01-28,NULL,NULL,ACTIVO
21916/2,80582334,25-93033647-6,CACERES,"NAHIARA JAZMIN","CALLE USHUAIA 1187",AFIP,NULL,"CONCURSO PREVENTIVO - FERNANDEZ THIAGO LIONEL","JUZGADO N┬░ 22",2022-01-17,NULL,NULL,NULL,NULL
21972/17,10287484,20-53278453-5,PAZ,VALENTIN,"CAMINO 4 2787",AFIP,360724,"CONCURSO PREVENTIVO - DIAZ NICOLAS","JUZGADO N┬░ 19",2020-12-08,2023-07-29,TOTAL,"EN REVISI├ôN",NULL
22023/5,85036979,21-42348224-6,TORRES,VALENTINA,"CALLE 4 4630","FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - PERALTA THIAGO EMANUEL",NULL,2021-05-10,NULL,TOTAL,NULL,CADUCADO
22074/10,87883164,23-78866707-5,SANCHEZ,ISABELLA,"AVENIDA 122 A 3819",NULL,NULL,"CONCURSO PREVENTIVO - RODRIGUEZ SANTIAGO",NULL,2017-06-28,2025-07-27,NULL,NULL,CADUCADO
22173/25,59016878,20-63889815-5,FERNANDEZ,DELFINA,"AVENIDA 163 A 2369",AFIP,184366,"CONCURSO PREVENTIVO - DUARTE MIA VALENTINA","JUZGADO N┬░ 29",2020-12-16,NULL,TOTAL,NULL,NULL
22220/1,45684928,26-12397649-5,NULL,NICOLAS,"DIAG. ALVEAR 692",AFIP,268415,"CONCURSO PREVENTIVO - NU├æEZ MALENA","JUZGADO N┬░ 15",NULL,2020-07-10,PARCIAL,NULL,NULL
22296/2,79851512,22-26842653-5,CABRERA,JOAQUIN,"AVENIDA 131 B 24","FISCO DE LA PROVINCIA",NULL,NULL,NULL,2021-05-22,2021-06-09,PARCIAL,NULL,NULL
22306/14,76429424,24-65058293-5,GUTIERREZ,RENATA,"DIAGONAL 6 3560","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - ALVAREZ MANUEL","JUZGADO N┬░ 30",2025-01-08,NULL,NULL,"SIN OBSERVACIONES",ACTIVO
22350/17,35780775,24-90596772-9,ACOSTA,JAZMIN,"AVENIDA NEUQU├ëN 3452","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - GIMENEZ RENATA","JUZGADO N┬░ 22",2022-08-07,2024-08-18,NULL,NULL,NULL
22359/7,55296830,22-43569066-4,FERNANDEZ,EMMA,"AVENIDA JUJUY 3805",NULL,123142,"EJECUCI├ôN FISCAL - CORONEL SAMUEL",NULL,2019-06-30,NULL,PARCIAL,NULL,ACTIVO
22363/7,33731604,NULL,GONZALEZ,ISABELLA,"AVENIDA G├£EMES 2209","FISCO DE LA PROVINCIA",672692,"COBRO DE PESOS - ACOSTA CANDELA","JUZGADO N┬░ 12",2016-07-05,2020-11-25,NULL,NULL,ACTIVO
22427/15,58092824,21-77597429-8,LOPEZ,FELICITAS,"CAMINO SALTA 2015",NULL,NULL,"COBRO DE PESOS - PEREZ ISABELLA","JUZGADO N┬░ 14",2024-07-16,NULL,NULL,"EN REVISI├ôN",NULL
22493/2,11702677,0000,NAVARRO,"LAUTARO GABRIEL","CALLE 3 1539","FISCO DE LA PROVINCIA",115529,"EJECUCI├ôN FISCAL - FERREYRA BENJAMIN","JUZGADO N┬░ 6",2023-10-01,NULL,NULL,NULL,NULL
22525/14,"Lugar m.",21-77648994-1,CAMPOS,"BENJAMIN EZEQUIEL","CALLE RIVADAVIA 3140","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",839478,"EJECUCI├ôN FISCAL - RODRIGUEZ MILAGROS",NULL,2019-12-16,NULL,TOTAL,"SIN OBSERVACIONES",NULL
22534/5,49953547,25-22064980-2,GIMENEZ,MATEO,"AVENIDA J.M. DE ROSAS 4218","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - BLANCO JULIA","JUZGADO N┬░ 22",2018-03-09,2021-01-22,TOTAL,"SIN OBSERVACIONES",CADUCADO
22536/10,56430618,23-57786999-5,JUAREZ,MATEO,"DIAGONAL 6 1625","FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - RUIZ MARIA VICTORIA",NULL,2016-05-19,2020-03-10,NULL,NULL,NULL
22580/18,76377223,NULL,CRUZ,DELFINA,"CALLE LA RIOJA 2438",AFIP,902521,"EJECUCI├ôN FISCAL - HERNANDEZ FAUSTO",NULL,2021-04-06,2023-09-28,PARCIAL,NULL,NULL
22695/3,20263433,26-24706443-7,MANSILLA,"JUAN BAUTISTA","DIAGONAL SALTA 3656","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",189979,"CONCURSO PREVENTIVO - LOPEZ MIA VALENTINA","JUZGADO N┬░ 14",2019-05-02,2023-11-06,NULL,NULL,NULL
22736/5,24586651,27-95293544-5,GARCIA,RENATA,"DIAGONAL CHILECITO 3134","BANCO NACI├ôN",533305,"EJECUCI├ôN FISCAL - RAMIREZ VALENTINO","JUZGADO N┬░ 28",2016-12-14,NULL,NULL,NULL,NULL
22783/13,59043335,22-89131987-6,ALVAREZ,GENARO,"CAMINO SAN MIGUEL DE TUCUM├üN 1021",AFIP,482861,"EJECUCI├ôN FISCAL - GONZALEZ JUAN GABRIEL","JUZGADO N┬░ 2",2017-10-10,NULL,NULL,NULL,NULL
22902/20,27436710,23-38564067-3,CORONEL,ANTONELLA,"AV. 1 4968","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - CASTILLO TIZIANA",NULL,2020-12-09,NULL,NULL,NULL,NULL
22904/8,36803586,21-20138303-3,PAZ,BAUTISTA,"AV. 5 4657",AFIP,849374,"CONCURSO PREVENTIVO - VILLALBA BAUTISTA",NULL,NULL,2024-11-09,NULL,NULL,NULL
23073/23,52159644,22-24531358-9,GOMEZ,EMMA,"BLV. 6 3731",AFIP,395381,"COBRO DE PESOS - GARCIA THIAGO NAHUEL","JUZGADO N┬░ 1",2020-07-11,NULL,NULL,,NULL
23102/1,97812543,27-63947510-9,PEREZ,"MARIA VICTORIA","AVENIDA 8 928","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - GONZALEZ MIA","JUZGADO N┬░ 26",2020-08-02,2024-04-19,PARCIAL,NULL,CADUCADO
23110/11,61914495,27-20226847-1,GUTIERREZ,SOF├ìA,"CALLE PTE. PER├ôN 752",AFIP,866127,"CONCURSO PREVENTIVO - ARIAS MARTIN","JUZGADO N┬░ 22",2016-01-27,NULL,NULL,"EN REVISI├ôN",CADUCADO
23133/13,69629636,???,VEGA,"   ","AV. 2 2816","BANCO NACI├ôN",331070,"EJECUCI├ôN FISCAL - GONZALEZ MILAGROS","JUZGADO N┬░ 13",2016-10-21,NULL,NULL,NULL,ACTIVO
23144/3,20071429,25-67074940-7,RUIZ,FELIPE,NULL,AFIP,577681,"EJECUCI├ôN FISCAL - MEDINA LUZ MILAGROS","JUZGADO N┬░ 25",2020-02-29,NULL,NULL,,NULL
23163/4,98787433,21-25301736-4,OJEDA,SIMON,"CALLE FORMOSA 700",NULL,NULL,"CONCURSO PREVENTIVO - ALVAREZ SANTIAGO",NULL,2018-02-20,NULL,NULL,NULL,ACTIVO
23250/10,35634400,22-22649203-8,ARIAS,"THIAGO BENJAMIN","CALLE SAN MARTIN 2926","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - ORTIZ JUAN","JUZGADO N┬░ 6",2021-05-18,NULL,NULL,NULL,ACTIVO
2331/11,80275495,20-89003695-5,GONZALEZ,"THIAGO AGUSTIN","CALLE 6 420",AFIP,874719,"CONCURSO PREVENTIVO - LEIVA SEBASTIAN",NULL,2020-10-14,2020-01-27,TOTAL,NULL,ACTIVO
23499/3,33105170,23-26301480-2,AGUIRRE,SANTIAGO,"AV. CHACO 4747",NULL,627930,"CONCURSO PREVENTIVO - DIAZ JUANA","JUZGADO N┬░ 26",2018-05-09,2024-07-27,TOTAL,,NULL
23572/14,44217806,24-97211829-6,HERRERA,BAUTISTA,"AV. CONSTITUCI├ôN 954","FISCO DE LA PROVINCIA",778671,"CONCURSO PREVENTIVO - SOSA MAITE",NULL,2019-05-10,2025-02-16,NULL,NULL,NULL
23583/20,26197333,21-42592358-4,RODRIGUEZ,SOFIA,"DIAGONAL NEUQU├ëN 2083","FISCO DE LA PROVINCIA",503848,"COBRO DE PESOS - LUNA BENICIO","JUZGADO N┬░ 5",2021-02-23,2021-02-21,NULL,NULL,ACTIVO
2364/21,39250818,22-24050619-6,NULL,VALENTIN,"CAMINO BELGRANO 1153",NULL,848054,"EJECUCI├ôN FISCAL - GIMENEZ BENJAMIN","JUZGADO N┬░ 11",2016-06-13,NULL,NULL,NULL,CADUCADO
23658/12,97051362,23-80614705-8,GONZALEZ,BENJAMIN,"CAMINO 7 2220",NULL,NULL,"EJECUCI├ôN FISCAL - RODRIGUEZ CATALINA",NULL,2023-10-25,NULL,NULL,NULL,NULL
23684/5,67489766,24-59274529-4,VALDEZ,LISANDRO,NULL,NULL,NULL,"COBRO DE PESOS - MEDINA JUAN CRUZ","JUZGADO N┬░ 30",2025-05-26,NULL,PARCIAL,NULL,CADUCADO
23729/25,51081514,27-26180671-5,LOPEZ,"SANTINO GABRIEL","CAMINO 8 2563",AFIP,NULL,"EJECUCI├ôN FISCAL - RAMIREZ DELFINA",NULL,2021-08-18,NULL,PARCIAL,NULL,NULL
23789/1,47213371,23-81661640-5,VEGA,LORENZO,"DIAGONAL 8 1688",AFIP,996215,"COBRO DE PESOS - OJEDA LOURDES","JUZGADO N┬░ 14",2018-11-14,NULL,NULL,NULL,NULL
23889/16,NULL,27-53050106-1,SILVA,MALENA,"DIAGONAL BUENOS AIRES 1985",AFIP,NULL,"CONCURSO PREVENTIVO - VEGA VALENTINO","JUZGADO N┬░ 24",2023-06-03,NULL,TOTAL,NULL,CADUCADO
23932/7,74907333,NULL,SOSA,LUC├ìA,"AV. SAN LUIS 3560",AFIP,579393,NULL,NULL,2017-07-21,NULL,NULL,NULL,CADUCADO
23983/17,22040737,21-93892094-9,MORALES,FRANCISCO,"AV. CHUBUT 1026","FISCO DE LA PROVINCIA",51504,"COBRO DE PESOS - SOSA LUCAS","JUZGADO N┬░ 18",2016-04-18,2024-02-24,NULL,,NULL
24032/1,58470188,27-17640769-7,RIVERO,NULL,"AV. BAH├ìA BLANCA 2126","FISCO DE LA PROVINCIA",925662,"EJECUCI├ôN FISCAL - MARTINEZ VICTORIA","JUZGADO N┬░ 13",2017-12-17,2023-05-14,NULL,NULL,NULL
24039/8,91849992,25-29397323-4,LEDESMA,BENJAMIN,"CALLE LA RIOJA 3027",AFIP,915863,"COBRO DE PESOS - FARIAS VICENTE",NULL,2023-08-24,2025-05-23,NULL,"SIN OBSERVACIONES",ACTIVO
24103/2,93963082,NULL,DIAZ,NULL,"AV. SANTA CRUZ 2935",AFIP,732400,"CONCURSO PREVENTIVO - VILLALBA THIAGO NICOLAS",NULL,2018-07-09,NULL,NULL,NULL,CADUCADO
24153/16,31777107,24-68936833-4,VERA,"JUAN BAUTISTA","DIAGONAL ALEM 1959","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - OLIVERA BAUTISTA","JUZGADO N┬░ 24",2021-04-18,NULL,NULL,NULL,NULL
24210/11,67123709,20-30517307-1,ACOSTA,AMBAR,"DIAGONAL CORRIENTES 2594","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",200667,"CONCURSO PREVENTIVO - VERA VALENTIN","JUZGADO N┬░ 13",2021-07-13,NULL,NULL,NULL,NULL
24212/11,36252458,27-15613084-4,NU├æEZ,JULIA,"AV. SAN JUAN 4787",AFIP,401333,"CONCURSO PREVENTIVO - FLORES JEREMIAS","JUZGADO N┬░ 10",2017-04-26,NULL,TOTAL,NULL,CADUCADO
24222/14,43671140,26-95308231-3,MU├æOZ,MARTIN,###,AFIP,NULL,"EJECUCI├ôN FISCAL - CARDOZO FELICITAS","JUZGADO N┬░ 25",NULL,NULL,NULL,NULL,ACTIVO
24222/16,61932582,25-51640910-7,GOMEZ,ALEJO,"DIAGONAL 7 4749","BANCO NACI├ôN",655747,"COBRO DE PESOS - DOMINGUEZ JUAN IGNACIO","JUZGADO N┬░ 21",2015-11-13,NULL,TOTAL,NULL,CADUCADO
24272/24,68654676,21-75191168-4,LOPEZ,ALMA,"AVENIDA JUJUY 2520","FISCO DE LA PROVINCIA",433071,"CONCURSO PREVENTIVO - SILVA MARIA LUZ","JUZGADO N┬░ 19",2018-03-28,NULL,NULL,NULL,CADUCADO
24286/7,15471946,NULL,MALDONADO,BENJAMIN,"DIAGONAL FORMOSA 1912","BANCO NACI├ôN",331329,NULL,NULL,2018-03-30,2021-09-09,NULL,NULL,ACTIVO
24345/9,Puesto.,21-77475340-6,MORALES,BENJAMIN,"DIAGONAL BAH├ìA BLANCA 389","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"EJECUCI├ôN FISCAL - CABRERA LUCIA","JUZGADO N┬░ 3",NULL,NULL,NULL,"SIN OBSERVACIONES",NULL
24362/7,51696608,26-51197210-2,CASTRO,"TIZIANO VALENTIN","CAMINO 5 2584","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",995431,"CONCURSO PREVENTIVO - HERNANDEZ AMPARO","JUZGADO N┬░ 3",2018-02-24,NULL,NULL,NULL,CADUCADO
24411/4,54343436,26-84663240-7,GOMEZ,JULIANA,"BLV. ALEM 4220","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",555208,"CONCURSO PREVENTIVO - FERREYRA BAUTISTA","JUZGADO N┬░ 17",2023-01-13,NULL,NULL,NULL,NULL
24481/24,83453861,25-86904430-4,MIRANDA,LUCIANO,"AV. POSADAS 3915",NULL,NULL,"COBRO DE PESOS - ROLDAN MALENA",NULL,2020-05-06,NULL,NULL,NULL,NULL
24576/2,23192090,26-61630238-0,GONZALEZ,MATILDA,"CALLE CATAMARCA 2711",AFIP,550978,"COBRO DE PESOS - HERRERA MATIAS",NULL,2021-11-21,2024-03-05,PARCIAL,NULL,NULL
24634/9,14828624,25-19620102-3,NULL,VICTORIA,"BOULEVARD TUCUM├üN 1945","BANCO NACI├ôN",438529,"COBRO DE PESOS - GIMENEZ LISANDRO",NULL,2021-01-25,NULL,NULL,"SIN OBSERVACIONES",NULL
2468/5,57541052,23-10115674-0,LEIVA,###,"DIAG. MALVINAS ARGENTINAS 2888",AFIP,85187,"CONCURSO PREVENTIVO - LOPEZ THIAGO LEONEL","JUZGADO N┬░ 7",2025-02-01,NULL,NULL,"SIN OBSERVACIONES",CADUCADO
24702/18,85943373,27-58638402-3,PEREYRA,"SANTINO EZEQUIEL","AV. SANTA FE 4685","FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - VARGAS PILAR","JUZGADO N┬░ 3",NULL,2022-12-28,TOTAL,NULL,CADUCADO
24792/3,38230253,27-85416666-7,SANCHEZ,"JUAN PABLO","DIAG. SAN JUAN 4618","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - CHAVEZ MORENA","JUZGADO N┬░ 2",2017-09-28,NULL,NULL,NULL,NULL
24797/5,38808831,23-16321667-7,RODRIGUEZ,IVAN,"AVENIDA CORRIENTES 4763","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - GIMENEZ MILAGROS","JUZGADO N┬░ 25",2020-08-20,NULL,NULL,NULL,CADUCADO
2483/25,84841726,20-19835873-3,FERNANDEZ,LUCIA,"DIAGONAL 7 4583","BANCO NACI├ôN",550722,"CONCURSO PREVENTIVO - FLORES MARIA GUADALUPE",NULL,2018-08-15,NULL,NULL,NULL,ACTIVO
2484/25,27488159,NULL,SOSA,FACUNDO,NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",516197,"EJECUCI├ôN FISCAL - RIVERO MATIAS","JUZGADO N┬░ 6",2016-11-10,NULL,PARCIAL,"SIN OBSERVACIONES",NULL
24846/16,73603311,26-78666531-4,BENITEZ,EMILIA,"AVENIDA 150 BIS 2508",NULL,NULL,"CONCURSO PREVENTIVO - RIOS PRISCILA",NULL,2024-02-14,NULL,NULL,NULL,ACTIVO
24883/7,???,23-74360761-9,MOLINA,RAFAEL,###,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",938025,NULL,"JUZGADO N┬░ 23",2023-02-03,NULL,NULL,NULL,CADUCADO
25062/3,NULL,23-82051685-6,SANCHEZ,BAUTISTA,"BOULEVARD 7 2497","FISCO DE LA PROVINCIA",261355,"EJECUCI├ôN FISCAL - GONZALEZ ALMA","JUZGADO N┬░ 7",2015-11-15,NULL,NULL,NULL,CADUCADO
25083/15,48160086,21-56386997-1,GONZALEZ,BASTIAN,"AVENIDA RESISTENCIA 4176","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - FIGUEROA BASTIAN","JUZGADO N┬░ 10",2021-07-07,2020-05-01,NULL,NULL,CADUCADO
25236/8,39013020,25-54376130-9,LOPEZ,JEREMIAS,"AVENIDA MISIONES 1122",NULL,NULL,"EJECUCI├ôN FISCAL - AGUERO LOLA","JUZGADO N┬░ 8",NULL,NULL,NULL,NULL,NULL
25262/3,52364924,NULL,BUSTOS,"ANGEL GABRIEL","CALLE USHUAIA 2276",AFIP,NULL,"COBRO DE PESOS - ROMERO SANTIAGO NICOLAS",NULL,2016-05-26,2020-02-05,NULL,NULL,CADUCADO
25341/17,95335839,24-11521577-7,MEDINA,BIANCA,"AVENIDA SANTA FE 4414",AFIP,357819,NULL,NULL,2022-06-30,NULL,NULL,NULL,CADUCADO
25393/8,NULL,21-73431741-8,ALVAREZ,NULL,"DIAGONAL RIVADAVIA 4866","FISCO DE LA PROVINCIA",NULL,NULL,NULL,2020-05-16,NULL,NULL,"SIN OBSERVACIONES",CADUCADO
25537/20,36303143,27-45399202-5,GONZALEZ,SANTIAGO,"AVENIDA 1 1250",AFIP,47198,"COBRO DE PESOS - OJEDA VALENTINA",NULL,2015-09-14,NULL,NULL,,ACTIVO
25622/15,67192776,22-70831211-5,SANCHEZ,JOAQUIN,"BOULEVARD SAN LUIS 3865","BANCO NACI├ôN",182539,"COBRO DE PESOS - MAIDANA MALENA","JUZGADO N┬░ 1",2019-11-06,2020-08-27,NULL,,NULL
25698/1,27241824,24-75549445-2,LEIVA,LORENZO,"CALLE CHACO 2498",AFIP,NULL,"COBRO DE PESOS - GONZALEZ ISABELLA","JUZGADO N┬░ 1",2022-04-16,NULL,NULL,,NULL
25707/21,71746615,26-94669196-6,ROMERO,MILAGROS,"BLV. 6 2836",NULL,NULL,NULL,"JUZGADO N┬░ 5",2020-09-11,2024-03-06,NULL,NULL,NULL
25735/18,60734835,25-28949544-0,VAZQUEZ,JUSTINA,###,"FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - LEIVA MORA",NULL,2021-05-25,2020-09-28,NULL,NULL,CADUCADO
25741/19,42724764,22-42924187-1,RODRIGUEZ,FRANCESCA,"CALLE SAN MIGUEL DE TUCUM├üN 2132",NULL,415197,"EJECUCI├ôN FISCAL - ROMERO EMANUEL",NULL,2025-02-04,NULL,PARCIAL,,NULL
25761/11,32797277,26-36956213-0,GIMENEZ,CATALINA,"AVENIDA J.M. DE ROSAS 4933","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - MEDINA NAHUEL","JUZGADO N┬░ 16",2018-08-28,NULL,PARCIAL,NULL,NULL
25840/21,32835377,25-76512831-5,MORENO,EMMA,"AVENIDA MITRE 2913",NULL,NULL,"EJECUCI├ôN FISCAL - GUTIERREZ VALENTINO","JUZGADO N┬░ 11",2018-09-28,NULL,TOTAL,NULL,ACTIVO
25851/11,91784582,26-30176194-2,CARRIZO,ISABELLA,"CALLE SAAVEDRA 1826",AFIP,NULL,"CONCURSO PREVENTIVO - HERNANDEZ JUAN PABLO",NULL,2022-02-12,NULL,NULL,NULL,ACTIVO
25862/12,31613761,20-20902841-9,SILVA,CONSTANZA,"BLV. SAN FERANDO DEL VALLE DE CATAMARCA 2684","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - FLORES JAZMIN","JUZGADO N┬░ 6",2023-07-26,NULL,PARCIAL,NULL,ACTIVO
2591/9,32326412,NULL,MOYANO,JULIETA,"DIAGONAL 9 846","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",824599,"COBRO DE PESOS - CRUZ PEDRO",NULL,2018-05-11,2020-08-31,NULL,,CADUCADO
25979/13,69321456,20-39048576-6,###,GENARO,NULL,AFIP,224149,"CONCURSO PREVENTIVO - GOMEZ JULIA",NULL,2020-02-10,NULL,NULL,NULL,NULL
25998/1,33367547,25-57823680-4,MU├æOZ,CIRO,"DIAGONAL 3 1240","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",44094,"COBRO DE PESOS - GONZALEZ EMILIANO","JUZGADO N┬░ 11",2019-06-19,NULL,NULL,NULL,NULL
2604/1,57358461,24-62380313-3,RODRIGUEZ,MATEO,"DIAGONAL 5 121",AFIP,NULL,"CONCURSO PREVENTIVO - ORTIZ LISANDRO","JUZGADO N┬░ 11",2023-03-28,NULL,NULL,NULL,NULL
26061/22,27703232,23-67459662-8,RAMIREZ,RAMIRO,"BLV. MITRE 3283","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - MIRANDA JAZMIN",NULL,2025-06-26,2022-06-03,NULL,NULL,CADUCADO
26103/10,94500714,20-92510145-8,CARDOZO,LUISINA,"DIAGONAL SAN JUAN 3638","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - GOMEZ BAUTISTA",NULL,2020-02-27,NULL,NULL,NULL,ACTIVO
26123/21,60522644,20-76122395-7,SOSA,LARA,NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - ESCOBAR MAXIMO","JUZGADO N┬░ 24",2021-08-25,NULL,NULL,NULL,NULL
26159/10,NULL,27-83150168-9,NULL,ANTONELLA,"AVENIDA CHILECITO 2006",AFIP,NULL,"CONCURSO PREVENTIVO - GODOY ALEXANDER","JUZGADO N┬░ 15",2021-03-20,NULL,NULL,NULL,ACTIVO
